b_course,cc_name,cc_course
AFRICAM 4A,College of Marin,HIST 238
AFRICAM 4A,Cypress College,HIST 135 C
AFRICAM 4A,De Anza College,ICS 16A
AFRICAM 4A,Fresno City College,AFRAM 4
AFRICAM 4A,Merritt College,AFRAM 30
AFRICAM 4A,Mount San Antonio College,HIST 35
AFRICAM 4A,San Diego City College,BLAS 145A
AFRICAM 4A,San Diego Mesa College,BLAS 145A
AFRICAM 4A,San Joaquin Delta College,HIST 30A
AFRICAM 4A,Santa Monica College,ANTHRO 20 + HIST 38
AFRICAM 4B,Palomar College,AS 102
AFRICAM 4B,San Jose City College,ETH 020
AFRICAM 5A,American River College,HIST 320
AFRICAM 5A,Bakersfield College,HIST B20A
AFRICAM 5A,Cabrillo College,HIST 29A
AFRICAM 5A,Cerritos College,HIST 110
AFRICAM 5A,Chabot College,HIS 62 + HIS 63
AFRICAM 5A,Chaffey College,HIST 50
AFRICAM 5A,Citrus College,HIST 111
AFRICAM 5A,City College of San Francisco,HIST 41A
AFRICAM 5A,College of Alameda,HIST 50 + AFRAM 31
AFRICAM 5A,College of Marin,ETST 112
AFRICAM 5A,Contra Costa College,HIST 122 + HIST 123
AFRICAM 5A,Cuyamaca College,HIST 180
AFRICAM 5A,Cypress College,ETHS 130 C
AFRICAM 5A,De Anza College,AFAM 12A + AFAM 12B
AFRICAM 5A,East Los Angeles College,AFRO AM 004
AFRICAM 5A,Fresno City College,AFRAM 5
AFRICAM 5A,Glendale Community College,ETH S 132
AFRICAM 5A,Grossmont College,ETHN 180
AFRICAM 5A,Laney College,AFRAM 30
AFRICAM 5A,Los Angeles City College,AFRO AM 007
AFRICAM 5A,Los Angeles Southwest College,HISTORY 041
AFRICAM 5A,Merritt College,AFRAM 31 + AFRAM 32
AFRICAM 5A,Mission College,HUM 018
AFRICAM 5A,Oxnard College,HIST R108
AFRICAM 5A,Sacramento City College,HIST 320 + ETHNS 320
AFRICAM 5A,San Bernardino Valley College,HIST 138 + HIST 139
AFRICAM 5A,San Diego City College,BLAS 140A
AFRICAM 5A,San Diego Mesa College,BLAS 140A
AFRICAM 5A,San Diego Miramar College,BLAS 140A
AFRICAM 5A,Santa Ana College,ENGL 245
AFRICAM 5A,Santa Barbara City College,BLST 101
AFRICAM 5A,Shasta College,HIST 25
AFRICAM 5A,Sierra College,ETHN 20
AFRICAM 5A,Skyline College,HIST 244
AFRICAM 5A,Southwestern College,HIST 110
AFRICAM 5A,Ventura College,HIST V43 + AES V40A
AFRICAM 5A,West Valley College,HIST 012
AFRICAM 5A,Yuba College,HIST 16A
AFRICAM 5B,American River College,HIST 321
AFRICAM 5B,Bakersfield College,HIST B20B
AFRICAM 5B,Cabrillo College,HIST 29B
AFRICAM 5B,Chaffey College,HIST 51
AFRICAM 5B,Citrus College,HIST 112
AFRICAM 5B,City College of San Francisco,HIST 41B
AFRICAM 5B,College of Alameda,AFRAM 31 + AFRAM 32
AFRICAM 5B,College of Marin,ETST 112
AFRICAM 5B,Contra Costa College,HUMAN 113
AFRICAM 5B,Cosumnes River College,HIST 321
AFRICAM 5B,Cuyamaca College,HIST 181
AFRICAM 5B,Cypress College,ETHS 130 C + ETHS 131 C
AFRICAM 5B,De Anza College,AFAM 10 + AFAM 11
AFRICAM 5B,Diablo Valley College,HIST 128
AFRICAM 5B,East Los Angeles College,AFRO AM 005
AFRICAM 5B,Fresno City College,AFRAM 1 + AFRAM 2
AFRICAM 5B,Grossmont College,ETHN 181 + ETHN 145
AFRICAM 5B,Laney College,AFRAM 31 + AFRAM 32
AFRICAM 5B,Merritt College,AFRAM 5 + AFRAM 10
AFRICAM 5B,MiraCosta College,HIST 145 + HIST 146
AFRICAM 5B,Orange Coast College,HIST A101
AFRICAM 5B,Oxnard College,HIST R108
AFRICAM 5B,Sacramento City College,HIST 321 + ETHNS 320
AFRICAM 5B,San Bernardino Valley College,HIST 138 + HIST 139
AFRICAM 5B,San Diego City College,BLAS 140B
AFRICAM 5B,San Diego Mesa College,BLAS 140B
AFRICAM 5B,San Diego Miramar College,BLAS 140B
AFRICAM 5B,Santa Barbara City College,BLST 102 + BLST 103
AFRICAM 5B,Santa Monica College,SOCIOL 30
AFRICAM 5B,Southwestern College,HIST 111
AFRICAM 5B,Ventura College,HIST V51 + AES V40B
AFRICAM 5B,Yuba College,HIST 16B
AGRS 10A,De Anza College,HUMI 20
AGRS 36,Diablo Valley College,PHILO 224
ANTHRO 1,Allan Hancock College,ANTH 101
ANTHRO 1,American River College,ANTH 300 + ANTH 480
ANTHRO 1,Antelope Valley College,ANTH 101
ANTHRO 1,Bakersfield College,ANTH B1
ANTHRO 1,Berkeley City College,ANTHR 1
ANTHRO 1,Butte College,ANTH 2 + ANTH 2H
ANTHRO 1,Cabrillo College,ANTHR 1 + ANTHR 1H
ANTHRO 1,Canada College,ANTH 125
ANTHRO 1,Cerritos College,ANTH 115
ANTHRO 1,Cerro Coso Community College,ANTH C121
ANTHRO 1,Chabot College,ANTH 1
ANTHRO 1,Chaffey College,ANTHRO 1
